,ID,Nodes,cables,circuits,frequency,power,voltage,wires,source,barrier,disused:power,end_date,generator:source,generator:type,landuse,name,name:da,name:fr,name:ru,note:de,operator,plant:output:electricity,ref,start_date,wikidata,wikipedia,line,removed:power,removed:voltage,location,substation,layer,was:voltage,highway,oneway,building,fixme,power:demolished,maxspeed,surface,removed:line,from,to,abandoned:power,note,website,demolished:power,description,capacity,fee,power_supply,sanitary_dump_station,tourism,water_point,artwork_type,area,wheelchair,caravans,dog,sanitary_dump_station:chemical_toilet,seamark:cable_submarine:category,seamark:type,plant:output:hot_water,plant:source,disused:substation,abandoned:cables,abandoned:voltage,abandoned,building:levels,height,material,year_of_construction,razed:power,man_made,street_cabinet,plant:method,ref:EU:ENTSOE_EIC,lines,service,seamark:cable_area:category,seamark:restricted_area:restriction,generator:method,transformer,abandoned:substation,description:de,historic,object:postcode,object:street,object:village,owner,roof:shape,construction:power,object:town,old_operator,fuel:biogas,fuel,seamark:source,seamark:cable_overhead:category,seamark:cable_overhead:clearance_height_safe,name:signed,tents,official_name,opening_date,seamark:name,seamark:production_area:category,seamark:production_area:condition,construction:substation
24,30600833,"['338327859', '4826095524', '4826095521', '322786582', '4826095512', '4826095515', '4826095520']",3, , ,line,110000,single, , , , , , , , , , , , , , , , , , ,busbar, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,30900237,"['4026051329', '4026051328', '589026878']",6, ,50,cable,110000,single, , , , , , , , , , , , ,EON_Netz, ,104C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,31416515,"['350214906', '663993657', '350214907', '663993650', '663993644', '350215788', '663993651', '663993653', '663993654', '739123216']", , ,50,line,380000, ,Yahoo, , , , , , , , , , , , , , , , , ,busbar, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,31417051,"['350223427', '621709134', '621708994', '1471550600', '621709152', '621709173', '350224049', '1471934610', '350223950', '621709246', '1471934620', '1471934624', '1471550641', '350223430', '350223700', '1471550663']",3, ,50,line,110000,triple, , , , , , , , , , , , , , , , , , ,busbar, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,31695739,"['1044153910', '1044163650', '6019970405', '1044154195']",3, ,50,line,110000,single, , , , , , , , , , , , , , , , , , ,bay, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,32300747,"['248350719', '248350720', '248350721', '248350722', '248350723', '248350724', '248350725', '248350726', '248350727', '248350728', '248350729', '248350732', '248350733', '248350734', '248350735', '248350736', '248350737', '248350738', '248350739', '248350740', '248350741', '248350742']",12,4,50,line,110000,double, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,32463813,"['364985957', '364985963']", , , ,minor_line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,33306509,"['378789957', '3686584217', '3686584199', '378789965', '3686584162', '3686584141', '3686584131']", , , ,minor_line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,33648886,"['384932126', '384932127', '384932118']", , , , , , , , , , , , , ,Campower Weg, , , , , , , , , , , , , , , , , ,residential,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33,33648890,"['3096052523', '384932128']", , , , , , , , , , , , , ,Campower Weg, , , , , , , , , , , , , , , , , ,residential, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
