,ID,Nodes,ref,power,wires,cables,voltage,circuits,operator,frequency,abandoned:power,line,note,name,layer,location,source,abandoned,disused,created_by,building,substation,source:name,addr:city,short_name,addr:street,addr:suburb,addr:country,addr:postcode,addr:housenumber,generator:source,access,barrier,old_name,contact:phone,ele,start_date,description,generator:method,generator:output,generator:output:cold,generator:output:heat,generator:output:steam,generator:output:electricity,roof:shape,wikidata,gas_insulated,addr:inclusion,building:levels,bridge,height,addr:housename,disused:power,service,gez,fixme,ref:Vattenfall,razed:substation,vehicle,voltage:primary,voltage:secondary,area,railway:ref,roof:colour,official_name,building:material,building:design:note,landuse,plant:method,plant:source,plant:output:hot_water,plant:output:electricity,foot,bicycle,vattenfall_ref,roof:levels,generator:output:hot_water,roof:material,building:colour,generator:type,ref:lda,heritage,lda:criteria,heritage:operator,man_made,street_cabinet,planned,plant:output:heat,seamark:cable_submarine:category,seamark:type,seamark:pipeline_submarine:category,seamark:pipeline_submarine:name,facility,building:part,wikipedia,source:geometry,generator:place,building:name,check_date,rev,demolished:power,demolished:building,demolished:operator,transformer,disused:rating,disused:voltage,disused:substation,disused:building,support,abandoned:building,abandoned:substation,colour,mapillary
22,27040971,"['296406099', '296406100', '296406102', '296406104', '296406099']", ,generator, , , , , , , , , ,Energiezentrale, , , , , , ,yes, , , , , , , , , ,gas, , , , , ,2017,Kraft-Wärme-Kälte-Kopplungsanlage,combustion,2 x 2.6 MW,yes,yes,yes,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,27305676,"['299751167', '299751064', '299751213', '299751062', '299751212', '59956283']", ,abandoned,single,12,110000, ,Stromnetz Berlin,50, , , , , , , ,line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,27328809,"['300008842', '300008844', '528973269', '528973270', '300008845', '300008847', '300008842']",WI,switchgear, , ,110000, ,Vattenfall Europe AG,50, , , ,Umspannwerk Wittenau, ,indoor, , , , ,industrial, , ,Berlin,UW WI,Breitenbachstraße,Borsigwalde,DE,13509,32, , , , , , , , , , , , , , ,flat, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,28147094,"['309150520', '309150522', '309150523', '309150524', '4095970281', '4095970274', '309150526', '309150528', '309150530', '309150531', '309150520']", ,switchgear, , , , , , , , , ,Umspannwerk Wuhlheide, , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , ,Q52791452, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,28510045,"['313182274', '313182278', '4110034226', '313182284', '4110034229', '592352890', '313182274']", ,abandoned, , , , ,Deutsche Bahn AG, , , , ,SFm, , , ,sub_station, , ,yes, , ,Berlin, ,Markgrafendamm,Friedrichshain,DE,10245,24b, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,28578119,"['313906101', '313906102', '313906103', '313906104', '313906101']",HS,switchgear, , ,110000, ,Vattenfall Europe AG,50, , , ,Umspannwerk Holzhauser Straße, ,indoor, , , , ,industrial, , ,Berlin,UW HZ,Holzhauser Straße,Borsigwalde,DE,13509,92-94, , , , , , , , , , , , , , ,flat, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,28663455,"['315015313', '315015314', '315015315', '2246637358', '2246637349', '315015316', '315015313']", ,switchgear, , ,380000, ,50Hertz Transmission GmbH,50, , , , , ,indoor, , , , ,electricity, , ,Berlin,UW FRH9,Eldenaer Straße,Prenzlauer Berg,DE,10247,65, , , , , , , , , , , , , , , , ,yes,actual, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,28663458,"['315015319', '4350068213', '4350068212', '315015320', '315015321', '315015322', '315015319']", ,switchgear, , ,110000, ,Stromnetz Berlin GmbH,50, , , , , ,indoor,Geoportal Berlin / Hauskoordinaten, , , ,electricity, , ,Berlin,UW FRH7,Thaerstraße,Prenzlauer Berg,DE,10249,26, , , , , , , , , , , , , , ,flat, , ,actual,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,30132732,"['332050858', '506480709', '506480715', '332050859', '332050860', '506083613', '506083611', '506083610', '506083609', '595680714', '332050858']", ,substation, , ,110000, ,Vattenfall Europe AG,50, , , ,Umspannwerk Oberhavel, , ,survey, , , , ,transmission, ,Berlin,UW OH,Papenberger Weg,Hakenfelde,DE,13587,10-20, ,no,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,30132758,"['332051056', '332051057', '332051058', '332051059', '332051081', '332051061', '332051159', '332051062', '332051056']", ,substation, , ,380000;110000, ,50Hertz Transmission GmbH,50, , , ,Umspannwerk Teufelsbruch, , , , , , , ,transmission, ,Berlin,UW TB,Niederneuendorfer Allee,Hakenfelde,DE,13587,60A, ,no,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,30151837,"['59423416', '59423415', '59417664', '59417663', '59417662', '59417661', '1390053901', '59417660', '59417659', '59417658', '59417657', '59417656']",518;520,line,triple,6,380000,2,50Hertz,50, , , ,518;520, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33,30927467,"['343822253', '343822262']", ,cable, , ,30000, ,DB Energie GmbH,50, , ,location estimated, ,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
34,30927505,"['343822764', '343822767', '343822772']", ,minor_line, , ,30000, ,DB Energie GmbH,50, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35,31590053,"['353524409', '4083954281', '353524408', '353524407', '353524406', '4083954283', '353524409']", ,generator, , , , , , , , , , , , , , , , ,yes, , ,Berlin, ,Köpenicker Straße,Köpenick,DE,12555,325,gas, , , , , , , , , , , , , , , , , , , ,7,BHKW 25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
36,32063593,"['359962519', '359962565', '359962564', '359962517', '359962519']", ,substation, , , , , , , , , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
37,32063598,"['359962547', '359962548', '359962550', '359962552', '359962547']", ,substation, , , , , , , , , , , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38,32338693,"['364054729', '364054730', '364054731', '364054732', '364054729']",52554,substation, , ,10000;400, ,Stromnetz Berlin GmbH, , , , , , , , , , , ,service,minor_distribution, , , , , , , , , , , , , , , , , , , , , , ,flat, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39,32353585,"['364173644', '4582426802', '4582426803', '4582426801', '364173659', '364173658', '4582426800', '364173657', '4582426807', '364173656', '364173655', '364173654', '364173653', '364173652', '364173651', '364173650', '4582426806', '364173649', '364173648', '364173647', '4582426805', '4582426804', '364173646', '364173645', '364173644']", ,generator, , , , ,Vattenfall Europe AG, , , , ,ehemaliges Heizkraftwerk Lichtenberg, , , , , , ,yes, , , , , , , , , ,gas, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,32401351,"['364514546', '364514560', '364514557', '364514554', '364514546']", ,transformer, , , , , , , , , , , , , , , , ,electricity, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41,32455487,"['364869128', '2279270257', '2279270256', '364869129', '2279270259', '2279270258', '364869130', '364869131', '364869128']", ,substation, , ,110000, ,Vattenfall Europe AG,50, , , ,Umspannwerk Grenzallee, , ,Geoportal Berlin / Hauskoordinaten, , , ,yes, , ,Berlin,UW GZ,Neuköllnische Allee,Neukölln,DE,12057,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42,32479391,"['365178016', '365178018', '365178020', '365178043', '365178044', '365178034', '365178035', '365178013', '365178016']", , , , , , , , , , , , , , , , , , ,yes, , , , , , , , , ,gas, , , , , , , ,combustion, , , , ,110 MW, , , , , , , , ,generator, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43,32479392,"['365178029', '365178022', '365178023', '1969388207', '365178024', '1969388205', '365178025', '365178026', '365178027', '365178028', '365178029']", , , , , , , , , , , , , , , , , , ,yes, , , , , , , , , ,gas, , , , , , , ,combustion, , , , ,110 MW, , , , , , , , ,generator, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44,32479394,"['365178041', '365178039', '365178030', '365178031', '365178032', '365178033', '365178037', '365178042', '365178041']", , , , , , , , , , , , , , , , , , ,yes, , , , , , , , , ,gas, , , , , , , ,combustion, , , , ,110 MW, , , , , , , , ,generator, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45,32950584,"['59434582', '1756730823', '371083470', '59744101', '254075804', '3088324337', '3088324335', '3088324334', '59433132', '59431051', '59427319', '9214958022', '59427318', '59424328']", , , , , , , , ,line, ,Hochspannungsleitung abgebaut., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46,33000377,"['307598185', '2632572752', '2632572741', '2632572747', '2632572750', '2632572744', '371794328']", ,cable, , ,110000,2,E.DIS Netz GmbH,50, , , ,Tel-Sed 3;Grb-Tel 1,-2,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47,33806708,"['387216075', '387216076', '387216077', '387216078', '387216079', '387216075']",LUN,substation, , ,110000, ,Stromnetz Berlin,50, , , ,Umspannwerk Lunder Straße, , ,survey, , , , ,distribution,Informationssystem Stadt und Umwelt (ISU) der Senatsverwaltung für Stadtentwicklung,Berlin,uw lun,Eschengraben,Pankow,DE,13189,30-34, ,no,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48,34942574,"['59425082', '59425081']",517;518,line,quad,6,380000,2,Vattenfall_Europe_Transmission, , , , ,517;518, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
49,37047561,"['430866476', '430856745', '430856743', '430856741', '430856740', '430856744', '430856739', '430856738', '430856737', '430856736', '430856735', '430856734', '430856732', '430856731', '430856730', '430856729', '430856727', '430856726', '430856728', '430866477', '430866478', '430866479', '430866480', '430866481', '430866482', '430866483', '430866484', '430866485', '430866486', '430866487', '430866488', '430866489', '430866490', '430866491', '430866492']", ,minor_line, , ,15000, ,DB Energie GmbH,16.7, , , , , , ,landsat, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50,37047564,"['430874175', '430874174', '430874173', '430874172']", , , , ,15000, ,DB Energie GmbH,16.7,minor_line, , , , , ,landsat, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51,37262243,"['434133984', '434133986', '434133988', '434133990', '434133984']", ,substation, , , , , , , , , , , , ,Bing, , , ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52,39183360,"['469367036', '469367037', '469367038', '469367039', '469367044', '474554570', '469367036']", ,substation, , ,110000, ,entrance,50, , , ,Umspannwerk Fennpfuhl, , ,Yahoo, , , , ,distribution, ,Berlin,UW FEN,Landsberger Allee,Alt-Hohenschönhausen,DE,13055,209, ,private,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53,39247323,"['59436351', '470248206', '470248208', '540784085', '540784088', '540784089', '980393932', '470248209', '470250080']",748;749,cable, , ,110000,2,Stromnetz Berlin,50, , , ,748;749,-1,underground, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
