,ID,Nodes,abandoned:power,cables,frequency,line,note,operator,ref,voltage,wires,layer,power,source,name,created_by,circuits,highway,maxspeed,name:hsb,building,generator:source,abandoned:building,plant:output:electricity,plant:output:hot_water,disused,wikidata,access,barrier,old:operator,website,disused:power,abandoned,demolished:building,demolished:power,surface,tracktype,substation,building:levels,rating,generator:method,generator:output:electricity,substance,service,location,fixme,ref:Vattenfall,roof:shape,abandoned:substation,description:de,object:postcode,object:street,object:suburb,vacant,historic:power,old_name,landuse,roof:colour,plant:source,wikipedia,voltage:primary,voltage:secondary,sidewalk,height,roof:levels,check_date,type,year,ruins,description,power_supply,toilets:wheelchair,tourism,wheelchair,substation:type,man_made,street_cabinet,material,FIXME,object:village,source:image,level,operator:wikidata,seamark:cable_submarine:category,seamark:cable_submarine:name,seamark:type,information,capacity,fee,operator:wikipedia,area,seamark:pipeline_submarine:category,seamark:pipeline_submarine:name,disused:substation,building:colour,addr:postcode,addr:street,alt_name,image,building:part,colour,management_region,sanitary_dump_station,waterway,addr:housenumber,addr:village,start_date,bldam:criteria,heritage,heritage:operator,historic,ref:bldam,year_of_construction,building:height,voltage-low,alt_name2,lfd:criteria,ref:lfd,transformer,tower:type,addr:hamlet,sport,disused:rating,disused:voltage,disused:building,owner,denotation,object:hamlet,project number,artist_name,artwork_type,addr:suburb,url,building:material,roof:material,project,object:isolated_dwelling,old_ref,addr:city,inscription,old_operator,addr:country,amenity,shelter_type,structure,object:place,source2,object:town,removed:power,mapillary,tunnel,utility,bridge,design,power:disused,railway:electricity:ref,vattenfall_ref,survey:date,battery,storage:type,pump
28,30750010,"['1849722712', '1849722713', '1849722714', '251476266', '1849722707', '251476264']", ,12,50, , ,enviaM, ,110000,single, ,line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,30981211,"['344493610', '4061755954', '344493612', '344493613', '344493614', '344493610']",substation, ,50, , ,Stromnetz Berlin, , , , , , , , , , , , , , , , , , , ,private,fence, , , , , , , , ,transition, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,31580812,"['353383097', '353383100', '353383103', '353383106', '353383097']", , , , , , , , , , ,substation, , , , , , , ,yes, , , , , , , , , , , , , , , , , ,1,630 kVA, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,32063593,"['359962519', '359962565', '359962564', '359962517', '359962519']", , , , , , , , , , ,substation, , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,32063598,"['359962547', '359962548', '359962550', '359962552', '359962547']", , , , , , , , , , ,substation, , , , , , , ,yes, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33,32401351,"['364514546', '364514560', '364514557', '364514554', '364514546']", , , , , , , , , , ,transformer, , , , , , , ,electricity, , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
34,32479391,"['365178044', '365178034', '365178035', '365178013', '9981259192', '365178044']", , , , , , , , , , , , , , , , , , , ,gas, , , , , , , , , ,generator, ,yes, , , , , , ,combustion,110 MW, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35,32479392,"['365178025', '365178026', '9981259203', '365178027', '365178028', '365178025']", , , , , , , , , , , , , , , , , , , ,gas, , , , , , , , , ,generator, ,yes, , , , , , ,combustion,110 MW, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
36,32479394,"['365178030', '365178031', '365178032', '9981259198', '365178037', '365178030']", , , , , , , , , , , , , , , , , , , ,gas, , , , , , , , , ,generator, ,yes, , , , , , ,combustion,110 MW, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
37,32950584,"['59434582', '1756730823', '371083470', '59744101', '254075804', '3088324337', '3088324335', '3088324334', '59433132', '59431051', '59427319', '9214958022', '59427318', '59424328']",line, , , ,Hochspannungsleitung abgebaut., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38,32961931,"['371214529', '371214532', '371214546', '371214549', '371214529']", , , , , ,Fix Me, ,110000, , ,substation, , , , , , , , , , , , , , ,no,fence, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39,33744914,"['386012173', '386012174', '386012175', '386012176', '386012177', '386012178', '386012173']", , , , , , , , , , ,substation, , , , , , , , , , , , , , , ,fence, , , , , , , , , , , , , ,gas, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,34311054,"['4963688874', '4963688875', '4963688876', '4963688877', '4963688878', '4963688879', '4963688880', '4963688881', '4963688882', '430155266', '430155267', '8283442778', '8283442777', '393466999', '393467002', '393467005', '393467007', '393467010']", , , , , , , , , , ,minor_line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41,35611595,"['1791836278', '1791836286', '417399759']", ,3, ,bay, ,EON_Avacon, ,110000,single, ,line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42,36888281,"['1865537618', '1865532746', '1036418745', '1036418676', '1082816006', '1082813962', '1083111238', '1083110908']", , , , , , , ,110000, , ,line,Bing, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43,37047564,"['430874175', '430874174', '430874173', '430874172']",minor_line, ,16.7, , ,DB Energie GmbH, ,15000, , , ,landsat, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44,37262243,"['434133984', '434133986', '434133988', '434133990', '434133984']", , , , , , , , , , ,substation, , , , , , , ,service, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45,38098520,"['448138330', '448138331', '448138332', '448138333', '448138330']", , , , , , , , , , ,substation, ,Jühnsdorfer Straße, , , , , ,yes, , , , , , , , , , , , , , , , ,minor_distribution, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46,39094403,"['2132556404', '467193831', '9136079162', '9136079170', '9136079168', '467193834', '467193837', '2132556488', '2132556404']", , , , , ,enviaM, ,110000, , ,substation, ,Uckro, , , , , , , , , , , , , ,fence, , , , , , , , ,distribution, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47,39094934,"['9659135785', '9659135786', '9659135787', '9659135788', '9659135789', '9659135790', '9659135791', '9659135792', '9659135793', '9659135794', '9659135795', '9659135796', '9659135797', '467241240', '467241245', '467241249', '467241252', '467241258', '467241262', '467241267', '467241535', '467241275', '467241528', '467241524', '467241292', '467241515', '467241327', '467241330', '467241334', '467241337', '467241341', '467241348', '467241351', '467241354', '467241358', '467241361', '467241365', '467241367', '467241371', '467241377', '467241373', '467241381', '467241385', '467241388', '467241393', '467241396', '467241400', '2071744221']", , , , , , , , , , ,minor_line, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
