,ID,Members,cables,frequency,from,name,operator,operator:wikidata,route,to,type,via,voltage,wires,operator:wikipedia,ref,network,fixme,colour,note,planned
145,6020412,"['126547784', '109806504', '242281697', '177838528', '89007103', '88520246', '401194987', '159976420', '1050843668', '88517720', '401195000', '89430569', '238939886', '150574599']",3,50, ,142 gelb, , ,power, ,route, ,110000,single, ,142, , ,yellow, , 
146,6020413,"['401195004', '177838532', '87952821', '177838519', '303602665', '303602660', '177838530', '401195007', '401194993', '401195005', '241976798', '241976803', '241976797', '401194997', '238904570', '242281698', '177838528', '89007103']",3,50, , , , ,power, ,route, ,110000,single, , , , ,blue, , 
147,6020414,"['126547784', '177838528', '89007103', '109806505', '242281697', '88520246', '401194987', '159976420', '1050843669', '159976428', '88520259', '89430569', '150574599', '239161040', '239161041']",3,50, ,142 rot, , ,power, ,route, ,110000,single, ,142, , ,red, , 
148,6020415,"['177838522', '87962820', '177838524', '177838530', '401195007', '401195005', '401194993', '241976797', '241976804', '241976799', '401194997', '242281698', '177838528', '238904571', '89007103']",3,50, , , , ,power, ,route, ,110000,double, , , , ,s, , 
149,6463658,"['1089911132', '700393994', '98461311', '39464534', '28329489', '834369314', '174267708', '28327356']",3,50,Krümmel (TenneT),Hochspannungsleitung Krümmel - Lüneburg,TenneT TSO GmbH,Q1662830,power,Lüneburg,route, ,380000,quad,de:Tennet TSO, , , , , , 
150,6463663,"['23366603', '700393477', '23133385']",3,50, , , , ,power, ,route, ,380000, , , , , , , , 
151,6463664,"['23366603', '700393478', '23133385']",3,50, , , , ,power, ,route, ,380000, , , , , , , , 
152,6466104,"['69177995', '435982484', '87651498', '435982480', '437165435', '435982489', '87651497', '423060092', '437164718', '87651493', '87637074']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,110000,single, ,128 rot, , ,red, , 
153,6466105,"['435982481', '435982484', '87651498', '435982480', '437165434', '435982490', '87651497', '87651493', '87637074', '423060091', '437164717']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,110000,single, ,128 blau, , ,blue, , 
154,6466129,"['435983751', '399937380', '87637074', '68834307', '35702899', '35306350', '437164453', '68993110', '435983752']",3,50, , ,Schleswig-Holstein Netz AG, ,power, ,route, ,110000,single, ,137 gelb, , ,yellow, , 
